"","MM.purple","padj.MM.purple"
"B_BBS10",-0.313147323704088,0.0215906016365554
"B_KIF4B",0.354588414441328,0.00572240730099389
"B_PALMD",0.326003842922324,0.0148106805668911
"B_DGKI",0.307697701619338,0.0253172410736589
"B_ZCCHC3",-0.321158946501678,0.0172103770629109
"B_PTGIS",0.282980724692285,0.0483143557290298
"B_AC025569.1",-0.434487826559164,0.000186379072802651
"B_A1CF",0.350250553738412,0.00662592384251449
"B_POLR3GL",-0.323492382209066,0.0160109103055919
"B_AL512310.7",0.284345112132483,0.0468782645373163
"B_NDRG3",-0.370786919528621,0.00315964090441101
"B_ALPK2",0.335156531237172,0.0110613433646176
"B_GMPR",0.466718213047486,3.33471710215199e-05
"B_TUBB",-0.304190494494596,0.0279898572759601
"B_DOCK7",-0.320023873220328,0.0177854219513752
"B_ZNF623",-0.300239412091947,0.0311581996403502
"B_DHX58",0.431559176984709,0.000215331498715758
"B_STARD10",-0.300948972648989,0.0306437160989565
"B_PCSK2",0.331601072456053,0.0124001360267617
"B_TSHZ1",-0.334196789700949,0.0114347445378688
"B_MPZL1",-0.31719747300542,0.0192305357356852
"B_GRIK3",-0.429602013943159,0.000236218859132257
"B_CDR1",0.310505662756077,0.0232991342518331
"B_ARHGAP20",-0.351671340793754,0.00631946092996239
"B_AGMAT",-0.312405982315038,0.0220445471960647
"B_NRIR",0.489717881318259,8.43329292274186e-06
"B_PRKCZ",-0.301864936263391,0.0298298562603546
"T_IFI44L",0.805145124115407,6.88155040163745e-22
"T_HLA-C",0.348877254713674,0.00697562106127015
"T_IFIT3",0.700161842097967,3.73287932464018e-14
"T_SNORA81",-0.312431878495361,0.0220392599375299
"T_RNY1",-0.414513475187592,0.000486947795242989
"T_TYMP",0.415599822006718,0.00046303858863516
"T_SNORA54",-0.303222458453399,0.0286725354270053
"T_RNY4",-0.37098544204041,0.00313521947891217
"T_AMIGO3",-0.405136726386999,0.000753252054584983
"T_IFIT1",0.6338089745704,8.38990499030084e-11
"T_RNU2-59P",-0.313904613382805,0.0212091760898404
"T_RSAD2",0.735772521266809,2.31287834771825e-16
"T_RNY3",-0.404983194309613,0.000757056674826558
"T_SNORA8",-0.365721460636312,0.00382345813000623
"T_IFI27",0.562186791884923,5.33339350182246e-08
"T_ISG15",0.5151068853965,1.6557477959002e-06
"T_RGS1",0.37818871648178,0.00233945845614939
"T_IFI44",0.770979058348035,6.48042499777763e-19
"T_SLC4A10",-0.308117792038068,0.0250221015079834
"T_RNU1-2",-0.327451275509012,0.0141883801984632
"T_RNU1-27P",-0.327451275509012,0.0141883801984632
"T_RNU1-4",-0.327451275509012,0.0141883801984632
"T_RNU4-2",-0.311415351875072,0.0226654935742459
"T_RNVU1-7",-0.312278689186588,0.0221162612270275
"T_HELZ2",0.389504300663191,0.0014632971894808
"T_OAS1",0.704356698465734,2.13263030300572e-14
"T_SNORA46",-0.366173314399822,0.00376029198369984
"T_SNORD89",-0.342733155958718,0.00863358203868028
"T_CMPK2",0.674313510675912,9.55817043120065e-13
"T_RNU4-1",-0.355349514805634,0.00556821426651959
"T_HSPA1B",0.338530806538688,0.00997281851825604
"T_LY6E",0.363252442512711,0.00419239866838844
"T_IRF7",0.43563709350234,0.000176598049379282
"T_SNORA62",-0.335514517828042,0.0109403802209726
"T_MX1",0.708728451439395,1.17106583223971e-14
"T_SLC2A3P1",-0.285831842317448,0.0452041525230011
"T_SNORA6",-0.29819792015244,0.0329355857352545
"T_AC103591.3",0.290365250378861,0.0403999451131165
"T_SNORA48",-0.446260811309161,0.00010150374018182
"T_SNORA3A",-0.313606749479293,0.0213584011259471
"T_RNU6ATAC",-0.333983458030028,0.0115125312454956
"T_RNU2-2P",-0.296105776594917,0.0348209443049069
"T_IFI6",0.574329270299634,2.03319988282271e-08
"T_SNORA26",-0.336093592642893,0.0107283487039992
"T_OAS3",0.556174742913373,8.50482807421072e-08
"T_RNU6-1",-0.320999044170559,0.0172516589870317
"T_RNU6-3P",-0.320999044170559,0.0172516589870317
"T_RNU6-5P",-0.320999044170559,0.0172516589870317
"T_ODF3B",0.399370949276572,0.000969777371042397
"T_SNORA31",-0.294382509375895,0.0364743734526808
"T_S100B",-0.308468968483704,0.0247405803637207
"T_USP18",0.736191725448634,2.17301394423465e-16
"T_USP32P2",-0.331698604706314,0.0123883197733173
"T_IFIT2",0.455586934161074,6.17728258291571e-05
"T_THEMIS2",-0.395829449934729,0.00112832984788795
"T_EPSTI1",0.63825287011531,5.31013671954641e-11
"T_OASL",0.572506924933684,2.35819556151255e-08
"T_FAM13A",0.297055639196307,0.0339469586494084
"T_MYO3B",0.34043173482659,0.0093293495629025
"T_SNORD33",-0.34321793144691,0.00849919878953476
"T_AL360012.1",-0.333442441312323,0.0117044356625515
"T_SNORA63",-0.300468247451197,0.031008886281908
"T_SNORA23",-0.33455797138977,0.0112952825512369
"T_SNORA70",-0.301677083853564,0.0299683129984983
"T_SNORD13",-0.363957525829888,0.00409957102249105
"T_HIST1H2BC",0.331181537815847,0.0125478425839471
"T_IFITM1",0.310285609207149,0.0234373718001999
"T_SNORA10",-0.417505857257388,0.000425458541372807
"T_LGALS3BP",0.33396070187017,0.0115125312454956
"T_SNORA21",-0.401820515649662,0.000869446028421475
"T_XAF1",0.739825212980169,1.2401000768825e-16
"T_HIST1H1B",0.315036281717126,0.0204445215063226
"T_ZBTB16",-0.410603483996343,0.00058503038235708
"T_PLSCR1",0.486126260426378,1.0512727862419e-05
"T_SNORA2C",-0.370063735816759,0.00323492099174998
"T_RTKN2",0.293550568035357,0.0373738067831541
"T_SNORA37",-0.392979048573613,0.00127197431465069
"T_HIST2H2BE",0.291113725189557,0.0397645285841437
"T_SNORA14B",-0.293407206848919,0.0375007100991845
"T_NRCAM",-0.387451856497083,0.00158202618718737
"T_PATL2",0.326236041722809,0.0147025240645133
"T_SNORA50A",-0.311522287888949,0.0225929891865508
"T_SNORA49",-0.303617918017184,0.0284418735580314
"T_SNORA38B",-0.344622403389197,0.00812123370293051
"T_LGALS9",0.429662383290789,0.000236103641050704
"T_LAP3",0.351656440068576,0.00631946092996239
"T_HIST2H2BF",0.298459449512186,0.0327266728725048
"T_EIF2AK2",0.680510582986196,4.51789962642569e-13
"T_SNORA71B",-0.379111501554003,0.00225083647512446
"T_AL390728.6",0.290802100796798,0.040052149548165
"T_SNORA27",-0.292858585384211,0.0379443721570747
"T_SNORA66",-0.347472159933721,0.00735174350252211
"T_MT-ND3",-0.440668560458065,0.000137038470432676
"T_SNORA64",-0.345916382397115,0.00772323819938354
"T_AC145138.1",-0.336460636919448,0.0106078662299047
"T_MTCO3P12",-0.284506899874681,0.0467367127965944
"T_SNORA7B",-0.300934186492796,0.0306437160989565
"T_SNORA74D",-0.398587397385124,0.00100446039939438
"T_SNORA71D",-0.298216460566539,0.0329355857352545
"T_SNORA28",-0.355651971975097,0.00552426624859636
"T_SCRN1",-0.322304245791001,0.0166206287920839
"T_SNORA3B",-0.312601209817671,0.0219183827913362
"T_HSH2D",0.502560542719691,3.76211764854473e-06
"T_IFI35",0.359607317656786,0.00479733313854704
"T_RNU6-8",-0.285257111000617,0.0458596066473582
"T_ETV7",0.287840633147655,0.043022038555076
"T_SPATS2L",0.657771246550788,6.42166430338718e-12
"T_PGAP1",0.66975828828688,1.64654449135055e-12
"T_SNORD46",-0.357954297459551,0.00508364474897616
"T_HIST1H2BK",0.290695333122423,0.0401170060319266
"T_HERC5",0.684452409560867,2.78916031217179e-13
"T_IFNG",0.473984825396468,2.16396822507347e-05
"T_SCARNA8",-0.294757010672281,0.0360983820170656
"T_ZFP91-CNTF",-0.4420078751226,0.000127958245268722
"T_CDH23",-0.35328697273951,0.0059984085352912
"T_CORO7-PAM16",0.303979973079257,0.0281152144714309
"T_SCARNA3",-0.320994134454275,0.0172516589870317
"T_RCAN2",0.294245314852755,0.0366043130705509
"T_ACTN1",-0.288590648136301,0.0422208548984483
"T_SNORA1",-0.315550560455744,0.0201318936971065
"T_SNORA22",-0.297562928859963,0.0334798237695882
"T_LAMP3",0.837703296599098,2.56387371535341e-25
"T_AC022826.2",-0.33644224987105,0.0106078662299047
"T_CARMIL3",0.393356455933145,0.00125072388455187
"T_PARP9",0.639863280190874,4.48009749155197e-11
"T_SAMD9L",0.573181253439428,2.23735316388609e-08
"T_B4GALNT3",-0.32033164200911,0.0175939247543375
"T_AGRN",0.356894364577928,0.00528457683520103
"T_AL365361.1",0.323499808332566,0.0160109103055919
"T_FBXO6",0.317442565670214,0.0190838228459472
"T_AL136295.5",0.417424250101314,0.000425969434298873
"T_RAP2A",0.293370892756309,0.0375126583100705
"T_GBP1",0.284480008571422,0.0467414671844491
"T_AL662899.2",-0.36149771159451,0.00446613495621587
"T_SNHG12",-0.302160591973462,0.0295766314993002
"T_MT-ATP6",-0.2991358211505,0.0320560913196798
"T_SESN1",-0.318748301331419,0.0184338718561612
"T_MT-CO2",-0.412992796518979,0.000520861182478632
"T_HERC6",0.795627498529249,5.3372188334162e-21
"T_SNORA65",-0.300658930723689,0.0308616584631613
"T_DDX60",0.732084965004977,4.0299501072422e-16
"T_DBN1",-0.283010700988705,0.0482933807166546
"T_FAM157C",-0.391260072644694,0.00136085623341904
"T_STAT1",0.575879235083615,1.79298284242079e-08
"T_GUSBP9",-0.288186679559986,0.0426246746400944
"T_SNORA60",-0.363748101279876,0.0041285357444402
"T_SNORA51",-0.295977439257696,0.0348603093308982
"T_SNORD116-8",-0.28446975499763,0.0467414671844491
"T_ANKRD20A4",0.28255217478373,0.0488472275879241
"T_GBP5",0.340200633434523,0.00940829674891005
"T_NBEA",-0.343926908943063,0.00831720290197928
"T_GSTM2",-0.28970922557584,0.0410650573368011
"T_VMP1",0.304180424534651,0.0279898572759601
"T_LINC02012",-0.356816569462657,0.00528886791212245
"T_HELLS",0.302379258100801,0.02938723334573
"T_MT-CO3",-0.318413312875892,0.0185828712242846
"T_JAML",-0.376320362237574,0.00252150041070899
"T_SEMA3G",0.328924976754076,0.0135328600058009
"T_SNORA2A",-0.295042588279129,0.0357888071440405
"T_SNHG20",-0.424949694393489,0.000297154872882684
"T_TMED7",0.30003254360177,0.0312842120499782
"T_RNU4ATAC",-0.292214278968574,0.0386017232617679
"T_ZNF208",-0.333501294803808,0.0116871372142611
"T_MT-CO1",-0.333669965173715,0.0116195008761242
"T_HIST1H2BL",0.31966974485838,0.0179964919120982
"T_SNORA5A",-0.406782209100125,0.000697549995153255
"T_DUSP10",0.290657633905093,0.040120348962714
"T_ADARB2",-0.373763697029257,0.00280819952573297
"T_OAS2",0.558101327235928,7.31087686259499e-08
"T_MCF2L2",0.286612000300916,0.0443699148968545
"T_IRF4",0.356841393992353,0.00528849656024903
"T_TOP2A",0.453945475564077,6.74203663232941e-05
"T_MKI67",0.422562646024364,0.00033186637846148
"T_STARD4",0.392692258313848,0.00128641405479619
"T_SNORA77",-0.300034702885182,0.0312842120499782
"T_KIAA0408",0.395589930851004,0.00113863634969663
"T_GOLT1B",0.423335272337413,0.00032043128659335
"T_TMEM200A",0.346912454150343,0.00747482230316211
"T_LAG3",0.295964839661472,0.0348603093308982
"T_SNORD32A",-0.281513666295936,0.049958917261118
"T_ARHGAP32",-0.367292359153247,0.00361019118531188
"T_MAML3",-0.33166455358504,0.0123945775827339
"T_CTAGE6",0.297950901684782,0.0331562672775054
"T_GMFB",0.323781518906756,0.0158913504332276
"T_MCOLN2",0.369020150667019,0.00337726403251331
"T_LDLR",0.301454083233377,0.0301657119873692
"T_RN7SKP71",-0.337997611957058,0.0101435210105903
"T_SNORA80E",-0.330602562398804,0.0127612060808122
"T_TRAV19",0.288038292721183,0.0427882279739146
"T_CDK6",0.341643035508671,0.00894894414549524
"T_FAR2",0.542096830443444,2.44540767194424e-07
"T_MX2",0.390091192453256,0.00142488612472887
