"","MM.salmon","padj.MM.salmon"
"T_SNORA38B",0.863379169309325,2.96773450918753e-28
"T_BIN1",-0.338069608526543,0.00412173182454084
"T_RNU1-1",0.793756470170125,1.15854520289833e-20
"T_RNU1-28P",0.793756470170125,1.15854520289833e-20
"T_RNU1-3",0.793756470170125,1.15854520289833e-20
"T_ATG2A",-0.36889310136436,0.0013779552325692
"T_LIMD2",-0.414337591758737,0.000247008680999777
"T_SPSB3",-0.421134092787991,0.000189268371204091
"T_RNVU1-18",0.796927683977915,6.1454813053778e-21
"T_ICAM3",-0.443765374548553,7.3021945174812e-05
"T_LGALS9",-0.368277845935096,0.00141044076666921
"T_AL121845.2",-0.345011819331081,0.00324142616910925
"T_PLEKHG3",-0.348245694500684,0.0029151830970529
"T_IRF5",-0.273560270961796,0.0300259777132449
"T_ADAM15",-0.400042647921105,0.000428544356849261
"T_RGS14",-0.434776554999521,0.000107534712468229
"T_RPL28",-0.468736162806984,2.45953756221288e-05
"T_SNORD21",0.765997932772595,2.3290031515377e-18
"T_HIST2H2BF",-0.450330996578549,5.53450718763229e-05
"T_ELOB",-0.453365741019043,4.89732339407498e-05
"T_AIP",-0.454381123772448,4.69646668029301e-05
"T_FTL",-0.40063953978692,0.000419090406582184
"T_EEF1D",-0.428325327627941,0.000141126546322427
"T_EIF2AK2",-0.291692398204843,0.0179270977901224
"T_ARID5A",-0.427532144341223,0.000145947214518732
"T_WDR81",-0.471447190270134,2.18259777597873e-05
"T_GNB2",-0.416938532619503,0.000223197061937481
"T_HCFC1",-0.383822981299987,0.000791576725173265
"T_SNORA71B",0.89840220105257,8.49318140342156e-34
"T_KIF19",-0.26542104950653,0.0373600504301626
"T_AL390728.6",-0.37077779756356,0.00128804183117069
"T_SDF4",-0.46084369575146,3.54215725919775e-05
"T_AC004687.1",-0.309255709349975,0.0104483522442069
"T_SSBP4",-0.402610597508896,0.000388703616118687
"T_TTC16",-0.274258050990063,0.0294374381100879
"T_CSK",-0.481885462027206,1.33293235253072e-05
