"","MM.purple","MM.darkgrey","MM.darkturquoise","MM.salmon","MM.orange"
"N_ATP6V1B2",-0.084685267608269,-0.403099178495334,-0.670193442161406,0.0294933822930595,0.409528616055954
"N_SNRPD2",0.0748513890527583,0.31763969514732,0.620030473319752,-0.161128679506707,-0.402912803257886
"N_WHRN",0.298452400399456,0.21390014472918,0.109060579422412,-0.139864326653197,0.0844798908349462
"N_ATP8B2",-0.0149545914801715,0.265030518354495,0.513527402070972,-0.126293356016582,-0.309782211621402
"N_HYDIN",-0.101037720486808,0.0656949114223638,0.00454818354602681,-0.0342818663599241,0.113015430847051
"N_SHISA5",0.885104503870184,0.236791428241533,0.411090174138564,-0.235334791367641,0.0463820894364553
"N_ZNF677",-0.192379163975534,0.13071605392798,0.0813304356315519,-0.0242210817647763,0.0398129767262746
"N_GZF1",-0.00438042665402235,-0.0076157217458316,-0.123759475204385,0.199871697373559,0.17105277550133
"N_TRPV6",-0.112400473800409,0.160626515287775,-0.0278197007857199,-0.0210891484622188,0.16042429264753
"N_TMEM156",0.0359915989085212,0.297701913643915,0.620299054170499,-0.18992298365701,-0.540326942924648
"N_OLAH",-0.422512653543886,-0.265241369453792,-0.465764955143344,0.21782209134841,0.175578644597742
"N_CCSER1",-0.0270405696205404,0.263659291158917,0.526709933842751,-0.103302834303085,-0.335206171763994
"N_RNF130",-0.0234348674262688,-0.316287098906527,-0.626407238862014,0.12923378620077,0.523687092447852
"N_CYP1B1",-0.350806696486307,-0.0946489722377306,-0.361041575322299,0.117509557106079,0.251004919156108
"N_STAT1",0.886289017030828,0.186950920537198,0.445765190200958,-0.325100455665218,-0.0779050705559375
"N_IVNS1ABP",-0.12222780633653,-0.228611105289843,-0.432397957151713,0.0647689245530337,0.326437560805261
"N_RETN",0.192596527069949,-0.0718816469389887,0.0660226715685102,-0.105400896521336,0.223285830208259
