"","MM.darkturquoise","padj.MM.darkturquoise"
"B_GABARAPL1",0.441494476650143,1.84375839144688e-05
"B_LINC00926",-0.527294058761589,1.28732897645248e-07
"B_KRT23",0.4871312476306,1.5494713847277e-06
"B_PDE3B",0.281089607669721,0.0104358405696008
"B_ATP10A",0.254242528357832,0.022229984912537
"B_NAMPTP1",0.410769254322028,8.11921279366506e-05
"B_DEFA1",0.451562746343933,1.10545757367601e-05
"B_DCAF12",0.366096957629872,0.000549698365556985
"B_CD22",-0.409867605746386,8.46171026350735e-05
"B_IGKV2-28",-0.396834289005625,0.000151756048860075
"B_ADGRG3",0.386290152666326,0.000240290493659711
"B_MMP9",0.356122421576259,0.000812472106644397
"B_FCGR1B",0.480316709763944,2.29210173936575e-06
"B_IFIT2",0.804681699774421,1.3229813641318e-21
"B_FAM129C",-0.379365994315086,0.000320803813683419
"B_RCBTB2",0.376838292084063,0.000356697408613076
"B_BLK",-0.472359262314296,3.60350737974799e-06
"B_ATP8B4",0.414798150206164,6.74908204327287e-05
"B_IFITM1",0.806993106657326,8.17592157953884e-22
"B_FCAR",0.389155148643107,0.000212127050075525
"B_CEACAM3",0.515105488109442,2.82333939822177e-07
"B_PRRG4",0.540759152685524,5.25348074484484e-08
"B_VNN3",0.466482188224461,4.98287031613116e-06
"B_MCTP1",0.32394630923847,0.00264264645002532
"B_PAX5",-0.411022433659604,8.02172907023473e-05
"B_NT5E",-0.372674402351189,0.000421796405318574
"B_RXRA",0.341999936998452,0.00137807953744395
"B_WLS",0.378686938867754,0.000329854095072327
"B_ARAP3",0.383333949509812,0.000271421876679266
"B_SULT1A1",0.267816767551202,0.0153293752907698
"B_IL1B",0.463004570055817,6.01463910864541e-06
"B_IGHV3-23",-0.327744279603537,0.00231089159864817
"B_TBXAS1",0.269109338704802,0.0147724971924983
"B_ADM",0.463438443353307,5.87428244708088e-06
"B_MYO7B",-0.262913672260183,0.017570026140588
"B_IFI6",0.890501393722074,1.61177021315114e-32
"B_S100A4",0.361690076784381,0.000653651974710865
"B_STX11",0.444261908640285,1.60411735468522e-05
"B_CPPED1",0.347923333515238,0.00110780274519249
"B_FNDC3B",0.414125209903652,6.96071431537364e-05
"B_FCRL1",-0.383156163179481,0.000273488131446445
"B_LRG1",0.463972476636728,5.7070887538232e-06
"B_GZMB",0.348152894844566,0.00109874960897489
"B_CMTM2",0.470883155200506,3.91219519831178e-06
"B_SMARCD3",0.351293813671881,0.000977106654537118
"B_ZYX",0.352929428398031,0.000918568315258865
"B_CNTNAP2",-0.275682985652306,0.012236098587596
"B_C19orf38",0.317037242597284,0.00334662467155874
"B_AC007342.3",0.536315026091071,7.09304020437121e-08
"B_FAR2",0.415047048398909,6.67230915731034e-05
"B_IGKV3-15",-0.248551222073506,0.0258600734339548
"B_IGKV3-11",-0.2473589439219,0.026672646210956
"B_ETS2",0.370410581096243,0.000462858878081058
"B_TNFSF10",0.614819972620781,1.78333009641407e-10
